Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,ADANIPOWER.NS,GOOG,MRF.BO,SBIN.NS,ADANIPOWER.NS,GOOG,MRF.BO,SBIN.NS,ADANIPOWER.NS,GOOG,MRF.BO,SBIN.NS,ADANIPOWER.NS,GOOG,MRF.BO,SBIN.NS,ADANIPOWER.NS,GOOG,MRF.BO,SBIN.NS
Date,,,,,,,,,,,,,,,,,,,,
2023-05-08,47.7400016784668,107.4342269897461,97294.8125,551.9505004882812,49.560001373291016,107.61288731888632,99410.57924667466,555.733574673191,47.06999969482422,105.00246855056989,97001.94439923132,546.0394470743597,48.79999923706055,105.00742860294079,98124.95017974627,546.3232238183328,34029940.0,17266000.0,803.0,12990869.0
2023-05-09,48.060001373291016,107.13646697998047,97036.0859375,542.3982543945312,48.7599983215332,109.77170120840692,98670.91881287348,554.6459684581436,47.61000061035156,106.92306356215013,96836.07656171946,541.0741553565239,48.0,107.97021015102196,97432.26343909469,553.2745925384495,22550365.0,24782400.0,545.0,18959065.0
2023-05-10,47.63999938964844,111.44416046142578,96822.4375,541.1688232421875,48.060001373291016,112.6650073884697,98037.40775393017,543.8169638690443,46.619998931884766,107.67245308516401,96146.8751597667,532.7041824334594,48.0,107.74193168604621,98037.40775393017,543.8169638690443,19160185.0,47533500.0,225.0,18561315.0
2023-05-11,48.529998779296875,116.02976989746094,96905.0546875,542.3510131835938,48.959999084472656,117.55830667708587,97738.82371047442,548.5457859453637,47.70000076293945,114.07443383798878,96704.40768146758,540.9796371737035,47.79999923706055,114.99751099800255,96942.5807474563,541.1688024380219,27753915.0,57115100.0,233.0,16016715.0
2023-05-12,48.16999816894531,117.04215240478516,96225.171875,546.7960815429688,48.869998931884766,117.37962524039534,97432.31978819055,549.2550565537176,47.70000076293945,115.68235610399198,96147.28935781082,540.5539748058608,48.599998474121094,116.12900308682514,97142.68640158288,543.5331686718814,15532020.0,31293800.0,330.0,11319335.0
2023-05-15,47.16999816894531,116.08930969238281,96433.21875,550.3427734375,48.310001373291016,117.91064842930201,97083.79735740629,552.3288644146909,46.29999923706055,115.61288721374498,94878.60126665841,543.4859510624889,48.0,115.62280731812581,96544.44392121852,547.3635792465793,18671995.0,22107900.0,226.0,11410243.0
2023-05-16,47.2400016784668,119.19601440429688,96026.296875,554.504150390625,47.97999954223633,120.29775187431873,97170.95049673565,558.381836507775,47.0,115.9602881652734,95897.50613857573,550.4373567227524,47.0,115.9602881652734,95949.40966846958,552.328894031078,14794640.0,32370100.0,409.0,22178229.0
2023-05-17,46.869998931884766,120.5756607055664,97204.046875,554.504150390625,47.5099983215332,121.36970066232753,97340.69895861282,558.4763902831363,46.400001525878906,118.57069410160275,96082.63511931131,548.0729350873454,47.20000076293945,119.28533536350669,96082.63511931131,554.2204313394036,13646140.0,26659600.0,216.0,23739774.0
2023-05-18,45.0099983215332,122.60047912597656,,543.0603637695312,47.290000915527344,122.97765514580475,,561.6920174929332,44.79999923706055,120.58559222724935,,540.4122231267693,47.11000061035156,120.65507082470204,,558.287215759265,22654640.0,27014500.0,,45656620.0
2023-05-19,47.220001220703125,122.3324966430664,95685.953125,543.9588012695312,47.2599983215332,125.53745547632316,96753.50954498569,554.4568090197679,42.79999923706055,121.80644330522328,94798.23562411686,538.9935164126377,44.77000045776367,123.2754215800381,96729.67668926755,547.599987074534,76935195.0,30268900.0,399.0,42293962.0
